,unique_id,ds,y,Type,AutoARIMA
176,time-analysis,2019-08-01 08:00:00,9170.0,Training,
177,time-analysis,2019-08-01 09:00:00,9465.0,Training,
178,time-analysis,2019-08-01 10:00:00,9422.0,Training,
179,time-analysis,2019-08-01 11:00:00,9354.0,Training,
180,time-analysis,2019-08-01 12:00:00,9131.0,Training,
181,time-analysis,2019-08-01 13:00:00,9101.0,Training,
182,time-analysis,2019-08-01 14:00:00,8873.0,Training,
183,time-analysis,2019-08-01 15:00:00,8826.0,Training,
184,time-analysis,2019-08-01 16:00:00,8933.0,Testing,
185,time-analysis,2019-08-01 17:00:00,9394.0,Testing,
186,time-analysis,2019-08-01 18:00:00,9437.0,Testing,
187,time-analysis,2019-08-01 19:00:00,9318.0,Testing,
188,time-analysis,2019-08-01 20:00:00,9123.0,Testing,
189,time-analysis,2019-08-01 21:00:00,8677.0,Testing,
190,time-analysis,2019-08-01 22:00:00,7939.0,Testing,
191,time-analysis,2019-08-01 23:00:00,7494.0,Testing,
192,time-analysis,2019-09-01 00:00:00,7136.0,Testing,
193,time-analysis,2019-09-01 01:00:00,6999.0,Testing,
194,time-analysis,2019-09-01 02:00:00,6884.0,Testing,
195,time-analysis,2019-09-01 03:00:00,6898.0,Testing,
196,time-analysis,2019-09-01 04:00:00,6855.0,Testing,
197,time-analysis,2019-09-01 05:00:00,7064.0,Testing,
198,time-analysis,2019-09-01 06:00:00,7546.0,Testing,
199,time-analysis,2019-09-01 07:00:00,8505.0,Testing,
200,time-analysis,2019-09-01 08:00:00,8951.0,Testing,
201,time-analysis,2019-09-01 09:00:00,9220.0,Testing,
202,time-analysis,2019-09-01 10:00:00,9208.0,Testing,
203,time-analysis,2019-09-01 11:00:00,9163.0,Testing,
204,time-analysis,2019-09-01 12:00:00,9099.0,Testing,
205,time-analysis,2019-09-01 13:00:00,8995.0,Testing,
206,time-analysis,2019-09-01 14:00:00,8930.0,Testing,
207,time-analysis,2019-09-01 15:00:00,8751.0,Testing,
208,time-analysis,2019-09-01 16:00:00,8874.0,Testing,
209,time-analysis,2019-09-01 17:00:00,9298.0,Testing,
210,time-analysis,2019-09-01 18:00:00,9384.0,Testing,
211,time-analysis,2019-09-01 19:00:00,9266.0,Testing,
212,time-analysis,2019-09-01 20:00:00,8973.0,Testing,
213,time-analysis,2019-09-01 21:00:00,8498.0,Testing,
214,time-analysis,2019-09-01 22:00:00,7945.0,Testing,
215,time-analysis,2019-09-01 23:00:00,7566.0,Testing,
216,time-analysis,2019-10-01 00:00:00,7229.0,Testing,
217,time-analysis,2019-10-01 01:00:00,6990.0,Testing,
218,time-analysis,2019-10-01 02:00:00,6941.0,Testing,
219,time-analysis,2019-10-01 03:00:00,6886.0,Testing,
220,time-analysis,2019-10-01 04:00:00,6916.0,Testing,
221,time-analysis,2019-10-01 05:00:00,7148.0,Testing,
222,time-analysis,2019-10-01 06:00:00,7651.0,Testing,
223,time-analysis,2019-10-01 07:00:00,8386.0,Testing,
224,time-analysis,2019-10-01 08:00:00,8897.0,Testing,
225,time-analysis,2019-10-01 09:00:00,9278.0,Testing,
226,time-analysis,2019-10-01 10:00:00,9378.0,Testing,
227,time-analysis,2019-10-01 11:00:00,9195.0,Testing,
228,time-analysis,2019-10-01 12:00:00,9245.0,Testing,
229,time-analysis,2019-10-01 13:00:00,9071.0,Testing,
230,time-analysis,2019-10-01 14:00:00,8924.0,Testing,
231,time-analysis,2019-10-01 15:00:00,8856.0,Testing,
232,time-analysis,2019-10-01 16:00:00,8992.0,Testing,
